# PART 3

# What is each pokemon's primary type?
mysql> SELECT p.name, t.name FROM pokemons p JOIN types t ON p.primary_type = t.id;
+-------------+----------+
| name        | name     |
| Tirtouga    | Water    |
| Deino       | Dark     |
| Druddigon   | Dragon   |
| Klang       | Steel    |
| Seismitoad  | Water    |
| Scolipede   | Bug      |
| Mienfoo     | Fighting |
| Elgyem      | Psychic  |
| Pawniard    | Dark     |
| Liepard     | Dark     |
| Watchog     | Normal   |
| Alomomola   | Water    |
| Klinklang   | Steel    |
| Beheeyem    | Psychic  |
| Cubchoo     | Ice      |
| Leavanny    | Bug      |
| Archen      | Rock     |
| Eelektrik   | Electric |
| Accelgor    | Bug      |
| Espeon      | Psychic  |
| Walrein     | Ice      |
| Gallade     | Psychic  |
| Jynx        | Ice      |
| Rotom       | Electric |
| Gothita     | Psychic  |
| Lilligant   | Grass    |
| Ducklett    | Water    |
| Krokorok    | Ground   |
| Palpitoad   | Water    |
| Lampent     | Ghost    |
| Unfezant    | Normal   |
| Axew        | Dragon   |
| Golurk      | Ground   |
| Sigilyph    | Psychic  |
| Tangrowth   | Grass    |
| Heatmor     | Fire     |
| Umbreon     | Dark     |
| Mismagius   | Ghost    |
| Klink       | Steel    |
| Mantine     | Water    |
| Basculin    | Water    |
| Emolga      | Electric |
| Herdier     | Normal   |
| Excadrill   | Ground   |
| Swanna      | Water    |
| Mandibuzz   | Dark     |
| Toxicroak   | Poison   |
| Braviary    | Normal   |
| Cofagrigus  | Ghost    |
| Beartic     | Ice      |
| Durant      | Bug      |
| Ferroseed   | Grass    |
| Ferrothorn  | Grass    |
| Lucario     | Fighting |
| Weavile     | Dark     |
| Weezing     | Poison   |
| Bronzong    | Steel    |
| Eelektross  | Electric |
| Doublade    | Steel    |
| Chandelure  | Ghost    |
| Crustle     | Bug      |
| Doduo       | Normal   |
| Helioptile  | Electric |
| Carbink     | Rock     |
| Cryogonal   | Ice      |
| Vanilluxe   | Ice      |
| Delibird    | Ice      |
| Rhyperior   | Ground   |
| Masquerain  | Bug      |
| Golem       | Rock     |
| Froslass    | Ice      |
| Shedinja    | Bug      |
| Breloom     | Grass    |
| Bagon       | Dragon   |
| Talonflame  | Fire     |
| Haxorus     | Dragon   |
| Slugma      | Fire     |
| Goomy       | Dragon   |
| Sylveon     | Fairy    |
| Grimer      | Poison   |
| Goodra      | Dragon   |
| Fearow      | Normal   |
| Garbodor    | Poison   |
| Slowpoke    | Water    |
| Sandshrew   | Ground   |
| Psyduck     | Water    |
| Poliwag     | Water    |
| Diglett     | Ground   |
| Seel        | Water    |
| Voltorb     | Electric |
| Ditto       | Normal   |
| Koffing     | Poison   |
| Moltres     | Fire     |
| Kabutops    | Rock     |
| Dragonite   | Dragon   |
| Snorlax     | Normal   |
| Omastar     | Rock     |
| Poliwrath   | Water    |
| Mew         | Psychic  |
| Zapdos      | Electric |
| Remoraid    | Water    |
| Politoed    | Water    |
| Venonat     | Bug      |
| Celebi      | Psychic  |
| Raikou      | Electric |
| Chikorita   | Grass    |
| Totodile    | Water    |
| Cyndaquil   | Fire     |
| Bayleef     | Grass    |
| Croconaw    | Water    |
| Quilava     | Fire     |
| Anorith     | Rock     |
| Sunkern     | Grass    |
| Hoppip      | Grass    |
| Luvdisc     | Water    |
| Hoothoot    | Normal   |
| Treecko     | Grass    |
| Sunflora    | Grass    |
| Taillow     | Normal   |
| Togepi      | Fairy    |
| Surskit     | Bug      |
| Blaziken    | Fire     |
| Sceptile    | Grass    |
| Swampert    | Water    |
| Altaria     | Dragon   |
| Mudkip      | Water    |
| Zubat       | Poison   |
| Cacnea      | Grass    |
| Barboach    | Water    |
| Seedot      | Grass    |
| Typhlosion  | Fire     |
| Feraligatr  | Water    |
| Meganium    | Grass    |
| Jirachi     | Steel    |
| Xatu        | Psychic  |
| Latias      | Dragon   |
| Illumise    | Bug      |
| Entei       | Fire     |
| Gorebyss    | Water    |
| Suicune     | Water    |
| Aggron      | Steel    |
| Donphan     | Ground   |
| Golbat      | Poison   |
| Noctowl     | Normal   |
| Forretress  | Bug      |
| Houndoom    | Dark     |
| Castform    | Normal   |
| Rayquaza    | Dragon   |
| Huntail     | Water    |
| Volbeat     | Bug      |
| Dustox      | Bug      |
| Ledian      | Bug      |
| Ariados     | Bug      |
| Relicanth   | Water    |
| Octillery   | Water    |
| Lombre      | Water    |
| Clamperl    | Water    |
| Teddiursa   | Normal   |
| Nincada     | Bug      |
| Swinub      | Ice      |
| Sentret     | Normal   |
| Pineco      | Bug      |
| Skitty      | Normal   |
| Zigzagoon   | Normal   |
| Heracross   | Bug      |
| Wobbuffet   | Psychic  |
| Regice      | Ice      |
| Swablu      | Normal   |
| Plusle      | Electric |
| Minun       | Electric |
| Spoink      | Psychic  |
| Qwilfish    | Water    |
| Combusken   | Fire     |
| Azurill     | Normal   |
| Igglybuff   | Normal   |
| Togetic     | Fairy    |
| Corsola     | Water    |
| Baltoy      | Ground   |
| Articuno    | Ice      |
| Lileep      | Rock     |
| Chimecho    | Psychic  |
| Murkrow     | Dark     |
| Sealeo      | Ice      |
| Ledyba      | Bug      |
| Sliggoo     | Dragon   |
| Lumineon    | Water    |
| Shelgon     | Dragon   |
| Poochyena   | Dark     |
| Corphish    | Water    |
| Phanpy      | Ground   |
| Whismur     | Normal   |
| Regirock    | Rock     |
| Registeel   | Steel    |
| Groudon     | Ground   |
| Shuckle     | Bug      |
| Hitmontop   | Fighting |
| Geodude     | Rock     |
| Grovyle     | Grass    |
| Marshtomp   | Water    |
| Beldum      | Steel    |
| Wynaut      | Psychic  |
| Lotad       | Water    |
| Machop      | Fighting |
| Shroomish   | Grass    |
| Turtwig     | Grass    |
| Budew       | Grass    |
| Combee      | Bug      |
| Cherubi     | Grass    |
| Gogoat      | Grass    |
| Bonsly      | Rock     |
| Kricketune  | Bug      |
| Abra        | Psychic  |
| Ninjask     | Bug      |
| Wooper      | Water    |
| Latios      | Dragon   |
| Natu        | Psychic  |
| Spheal      | Ice      |
| Whiscash    | Water    |
| Shuppet     | Ghost    |
| Meditite    | Fighting |
| Cascoon     | Bug      |
| Feebas      | Water    |
| Chinchou    | Water    |
| Aron        | Steel    |
| Torchic     | Fire     |
| Fletchinder | Fire     |
| Bisharp     | Dark     |
| Pansear     | Fire     |
| Panpour     | Water    |
| Sawk        | Fighting |
| Throh       | Fighting |
| Darumaka    | Fire     |
| Bouffalant  | Normal   |
| Boldore     | Rock     |
| Gigalith    | Rock     |
| Minccino    | Normal   |
| Scraggy     | Dark     |
| Cottonee    | Grass    |
| Maractus    | Grass    |
| Porygon-Z   | Normal   |
| Pidove      | Normal   |
| Petilil     | Grass    |
| Tranquill   | Normal   |
| Munna       | Psychic  |
| Swadloon    | Bug      |
| Dwebble     | Bug      |
| Croagunk    | Poison   |
| Blitzle     | Electric |
| Sandile     | Ground   |
| Cubone      | Ground   |
| Omanyte     | Rock     |
| Shieldon    | Rock     |
| Archeops    | Rock     |
| Mantyke     | Water    |
| Vanillite   | Ice      |
| Woobat      | Psychic  |
| Riolu       | Fighting |
| Timburr     | Fighting |
| Kabuto      | Rock     |
| Cranidos    | Rock     |
| Carracosta  | Water    |
| Fletchling  | Normal   |
| Bunnelby    | Normal   |
| Pansage     | Grass    |
| Tentacool   | Water    |
| Snubbull    | Fairy    |
| Houndour    | Dark     |
| Clauncher   | Water    |
| Scatterbug  | Bug      |
| Burmy       | Bug      |
| Bidoof      | Normal   |
| Dragalge    | Poison   |
| Klefki      | Steel    |
| Cobalion    | Steel    |
| Terrakion   | Rock     |
| Virizion    | Grass    |
| Scrafty     | Dark     |
| Gurdurr     | Fighting |
| Mienshao    | Fighting |
| Hitmonlee   | Fighting |
| Conkeldurr  | Fighting |
| Hawlucha    | Fighting |
| Rattata     | Normal   |
| Pidgeotto   | Normal   |
| Finneon     | Water    |
| Elekid      | Electric |
| Espurr      | Psychic  |
| Krookodile  | Ground   |
| Krabby      | Water    |
| Pidgey      | Normal   |
| Wurmple     | Bug      |
| Crawdaunt   | Water    |
| Stunky      | Poison   |
| Drifloon    | Ghost    |
| Magby       | Fire     |
| Gulpin      | Poison   |
| Arbok       | Poison   |
| Joltik      | Bug      |
| Ekans       | Poison   |
| Mankey      | Fighting |
| Venomoth    | Bug      |
| Spearow     | Normal   |
| Starly      | Normal   |
| Infernape   | Fire     |
| Roggenrola  | Rock     |
| Pangoro     | Fighting |
| Smoochum    | Ice      |
| Kyogre      | Water    |
| Silcoon     | Bug      |
| Mewtwo      | Psychic  |
| Golett      | Ground   |
| Garchomp    | Dragon   |
| Volcarona   | Bug      |
| Audino      | Normal   |
| Togekiss    | Fairy    |
| Dusknoir    | Ghost    |
| Hydreigon   | Dark     |
| Heatran     | Fire     |
| Cresselia   | Psychic  |
| Musharna    | Psychic  |
| Weedle      | Bug      |
| Caterpie    | Bug      |
| Kakuna      | Bug      |
| Metapod     | Bug      |
| Kricketot   | Bug      |
| Magikarp    | Water    |
| Spinarak    | Bug      |
| Vespiquen   | Bug      |
| Drowzee     | Psychic  |
| Shinx       | Electric |
| Chimchar    | Fire     |
| Skuntank    | Poison   |
| Sewaddle    | Bug      |
| Cleffa      | Fairy    |
| Pichu       | Electric |
| Duskull     | Ghost    |
| Unown       | Psychic  |
| Munchlax    | Normal   |
| Porygon     | Normal   |
| Gible       | Dragon   |
| Prinplup    | Water    |
| Whirlipede  | Bug      |
| Noivern     | Flying   |
| Pyroar      | Fire     |
| Florges     | Fairy    |
| Clawitzer   | Water    |
| Barbaracle  | Rock     |
| Dedenne     | Electric |
| Floette     | Fairy    |
| Slurpuff    | Fairy    |
| Aromatisse  | Fairy    |
| Shellos     | Water    |
| Stunfisk    | Ground   |
| Frillish    | Water    |
| Hippowdon   | Ground   |
| Chatot      | Normal   |
| Lillipup    | Normal   |
| Venipede    | Bug      |
| Bastiodon   | Rock     |
| Tynamo      | Electric |
| Diggersby   | Normal   |
| Chingling   | Psychic  |
| Trubbish    | Poison   |
| Cinccino    | Normal   |
| Glaceon     | Ice      |
| Leafeon     | Grass    |
| Regigigas   | Normal   |
| Purrloin    | Dark     |
| Nidoran     | Poison   |
| Deerling    | Normal   |
| Shelmet     | Bug      |
| Patrat      | Normal   |
| Escavalier  | Bug      |
| Avalugg     | Ice      |
| Vivillon    | Bug      |
| Heliolisk   | Electric |
| Aurorus     | Rock     |
| Tyrantrum   | Rock     |
| Yanmega     | Bug      |
| Spiritomb   | Ghost    |
| Vullaby     | Dark     |
| Zoroark     | Dark     |
| Amoonguss   | Grass    |
| Tympole     | Water    |
| Piplup      | Water    |
| Empoleon    | Water    |
| Furfrou     | Normal   |
| Solosis     | Psychic  |
| Larvesta    | Bug      |
| Foongus     | Grass    |
| Litwick     | Ghost    |
| Yamask      | Ghost    |
| Gothitelle  | Psychic  |
| Reuniclus   | Psychic  |
| Pancham     | Fighting |
| Litleo      | Fire     |
| Skiddo      | Grass    |
| Rufflet     | Normal   |
| Karrablast  | Bug      |
| Lugia       | Psychic  |
| Binacle     | Rock     |
| Skrelp      | Poison   |
| Malamar     | Dark     |
| Zekrom      | Dragon   |
| Reshiram    | Dragon   |
| Happiny     | Normal   |
| Zweilous    | Dark     |
| Trevenant   | Ghost    |
| Swirlix     | Fairy    |
| Spewpa      | Bug      |
+-------------+----------+

# What is Rufflet's secondary type?
mysql> SELECT p.name, t.name FROM pokemons p JOIN types t ON p.secondary_type = t.id WHERE p.name = 'Rufflet';
+---------+--------+
| name    | name   |
+---------+--------+
| Rufflet | Flying |
+---------+--------+

# What are the names of the pokemon that belong to the trainer with trainerID 303?
mysql> SELECT pt.trainerID, t.trainername, p.name
    -> FROM pokemon_trainer pt
    ->          JOIN trainers t
    ->               ON pt.trainerID = t.trainerID
    ->          JOIN pokemons p
    ->               ON pt.pokemon_id = p.id
    -> WHERE pt.trainerID = 303;
+-----------+----------------------+-----------+
| trainerID | trainername          | name      |
+-----------+----------------------+-----------+
|       303 | Ace Duo Elina & Sean | Wailord   |
|       303 | Ace Duo Elina & Sean | Vileplume |
+-----------+----------------------+-----------+

# How many pokemon have a secondary type Poison
mysql> SELECT COUNT(*)
    -> FROM pokemons p
    ->          JOIN types t
    ->               ON p.secondary_type = t.id
    -> WHERE t.name = 'Poison';
+----------+
| COUNT(*) |
+----------+
|       31 |
+----------+

# What are all the primary types and how many pokemon have that type?
mysql> SELECT t.name, COUNT(*)
    -> FROM types t
    ->          JOIN pokemons p
    ->               ON t.id = p.primary_type
    -> GROUP BY t.name;
+----------+----------+
| name     | COUNT(*) |
+----------+----------+
| Normal   |       90 |
| Water    |       95 |
| Grass    |       59 |
| Rock     |       38 |
| Fire     |       38 |
| Ground   |       29 |
| Poison   |       27 |
| Bug      |       61 |
| Electric |       35 |
| Dragon   |       22 |
| Steel    |       19 |
| Dark     |       24 |
| Fighting |       25 |
| Psychic  |       38 |
| Ghost    |       19 |
| Fairy    |       14 |
| Ice      |       22 |
| Flying   |        1 |
+----------+----------+

# How many pokemon at level 100 does each trainer with at least one level 100 pokemone have? (Hint: your query should not display a trainer
mysql> SELECT COUNT(pokelevel) numberOfLevel100s
    -> FROM pokemon_trainer
    -> WHERE pokelevel = 100
    -> GROUP BY trainerID;
194 rows in set

